,close,adj close,articles
2016-07-01,17949.369141,17949.369141,
2016-06-30,17929.990234,17929.990234,
2016-06-29,17694.679688,17694.679688,
2016-06-28,17409.720703,17409.720703,
2016-06-27,17140.240234,17140.240234,
2016-06-24,17400.75,17400.75,
2016-06-23,18011.070312,18011.070312,
2016-06-22,17780.830078,17780.830078,
2016-06-21,17829.730469,17829.730469,
2016-06-20,17804.869141,17804.869141,
2016-06-17,17675.160156,17675.160156,
2016-06-16,17733.099609,17733.099609,
2016-06-15,17640.169922,17640.169922,
2016-06-14,17674.820312,17674.820312,
2016-06-13,17732.480469,17732.480469,
2016-06-10,17865.339844,17865.339844,
2016-06-09,17985.189453,17985.189453,
2016-06-08,18005.050781,18005.050781,
2016-06-07,17938.279297,17938.279297,
2016-06-06,17920.330078,17920.330078,
2016-06-03,17807.060547,17807.060547,
2016-06-02,17838.560547,17838.560547,
2016-06-01,17789.669922,17789.669922,
2016-05-31,17787.199219,17787.199219,
2016-05-27,17873.220703,17873.220703,
2016-05-26,17828.289062,17828.289062,
2016-05-25,17851.509766,17851.509766,
2016-05-24,17706.050781,17706.050781,
2016-05-23,17492.929688,17492.929688,
2016-05-20,17500.939453,17500.939453,
